Benämning                      Num Hplnamn Notering                                                       Numerisk X   Numerisk Y          wgs84_lat         wgs84_long
1214 Musikvägen 55                    1214 Ruddalens Motionscentral                                        315755,00   6395378,00      57,6629000000      11,9113000000
1221 Frölunda kyrka                   1221 Frölunda Kyrkogata 2                                            316326,00   6393774,00      57,6487000000      11,9221000000
1223 Järnbrotts Prästväg 13           1223                                                                 316519,00   6393776,00      57,6488000000      11,9253000000
1231 Pianogatan 84                    1231                                                                 316056,00   6393923,00      57,6500000000      11,9174000000
1232 Pianogatan 44                    1232                                                                 315978,00   6394169,00      57,6521000000      11,9160000000
1233 Pianogatan 18                    1233                                                                 315991,00   6394339,00      57,6537000000      11,9160000000
1235 N Dragspelsgatan 10              1235                                                                 316175,00   6394426,00      57,6545294796      11,9190539806
1237 Sö Dragspelsgatan 41             1237                                                                 316165,00   6393999,00      57,6507000000      11,9192000000
1238 Sö Dragspelsgatan 20             1238                                                                 316111,00   6394141,00      57,6519000000      11,9182000000
1240 Radiotorget 11                   1240 Fr.Antenngatan                                                  317020,00   6394663,00      57,6570000000      11,9330000000
1241 Kondensatorsg.2                  1241 Äldreboende Järnbrottshus                                       316943,00   6394880,00      57,6589000000      11,9316000000
1242 Kondensatorsg.19                 1242                                                                 316761,00   6394934,00      57,6593000000      11,9285000000
1244 Bildradiogatan 22                1244                                                                 316702,00   6394609,00      57,6564000000      11,9277000000
1245 Flygradiogatan 22                1245                                                                 316813,00   6394559,00      57,6560000000      11,9296000000
1251 Televisionsgatan 13              1251                                                                 316577,00   6394973,00      57,6596000000      11,9254000000
1252 Bildradiogatan 59                1252                                                                 316496,00   6394882,00      57,6588000000      11,9241000000
1253 Bildradiogatan 36                1253                                                                 316577,00   6394702,00      57,6572000000      11,9256000000
1254 Rundradiogatan 23                1254                                                                 316439,00   6394738,00      57,6574000000      11,9232000000
1255 Rundradiogatan 39                1255                                                                 316534,00   6394642,00      57,6566000000      11,9249000000
1261 Antenngatan 57.B                 1261                                                                 316848,00   6393997,00      57,6510000000      11,9306000000
1262 Antenngatan 45.B                 1262                                                                 316904,00   6394134,00      57,6522000000      11,9315000000
1263 Antenngatan 31.A                 1263                                                                 316934,00   6394374,00      57,6544000000      11,9318000000
1264 Trerörsgatan 1                   1264                                                                 316634,00   6393997,00      57,6509000000      11,9271000000
1265 Rymdvågsgatan 10                 1265                                                                 316655,00   6394119,00      57,6520000000      11,9273000000
1271 Tamburingatan 1                  1271                                                                 315449,00   6394273,00      57,6529000000      11,9070000000
Benämning                      Num Hplnamn Notering                                                       Numerisk X   Numerisk Y          wgs84_lat         wgs84_long
------------------------------ ----------- ------------------------------------------------------------ ------------ ------------ ------------------ ------------------
1273 Speldosegatan 2                  1273                                                                 315283,00   6394450,00      57,6544000000      11,9041000000
